Date,Close
2018-04-05,79.04
2018-04-06,77.51
2018-04-09,76.15
2018-04-10,75.01
2018-04-11,79.61
2018-04-12,79.95
2018-04-13,79.61
2018-04-16,80.53
2018-04-17,81.16
2018-04-18,81.16
2018-04-19,81.98
2018-04-20,82.33
2018-04-23,82.09
2018-04-24,82.04
2018-04-25,81.83
2018-04-26,81.93
2018-04-27,80.17
2018-04-30,78.84
2018-05-01,80.24
2018-05-02,79.45
2018-05-03,79.87
2018-05-04,81.16
2018-05-07,81.35
2018-05-08,82.43
2018-05-09,82.85
2018-05-10,82.76
2018-05-11,83.51
2018-05-14,82.97
2018-05-15,83.02
2018-05-16,84.2
2018-05-17,83.3
2018-05-18,83.84
2018-05-21,83.92
2018-05-22,82.76
2018-05-23,82.33
2018-05-24,82.03
2018-05-25,81.83
2018-05-29,80.33
2018-05-30,81.73
2018-05-31,80.71
2018-06-01,82.65
2018-06-04,83.19
2018-06-05,83.07
2018-06-06,84.68
2018-06-07,84.17
2018-06-08,84.14
2018-06-11,83.99
2018-06-12,83.81
2018-06-13,82.73
2018-06-14,82.93
2018-06-15,83.84
2018-06-18,84.33
2018-06-19,82.98
2018-06-20,82.01
2018-06-21,81.02
2018-06-22,80.87
2018-06-25,79.27
2018-06-26,79.19
2018-06-27,78.26
2018-06-28,78.25
2018-06-29,79.16
2018-07-02,79.3
2018-07-03,79.45
2018-07-05,79.69
2018-07-06,80.56
2018-07-09,80.94
2018-07-10,81.28
2018-07-11,80.61
2018-07-12,81
2018-07-13,80.97
2018-07-16,80.08
2018-07-17,81.07
2018-07-18,82.96
2018-07-19,82.14
2018-07-20,81.96
2018-07-23,81.61
2018-07-24,80.49
2018-07-25,80.37
2018-07-26,79.61
2018-07-27,78.45
2018-07-30,77.28
2018-07-31,78.66
2018-08-01,78.54
2018-08-02,78.44
2018-08-03,78.18
2018-08-06,78.13
2018-08-07,77.6
2018-08-08,76.89
2018-08-09,76.15
2018-08-10,75.65
2018-08-13,75.31
2018-08-14,76.54
2018-08-15,76.22
2018-08-16,77.24
2018-08-17,77.2
2018-08-20,76.29
2018-08-21,76.73
2018-08-22,77.2
2018-08-23,76.77
2018-08-24,77.11
2018-08-27,77.76
2018-08-28,77.47
2018-08-29,78.18
2018-08-30,77.58
2018-08-31,77.62
2018-09-04,77.16
2018-09-05,75.72
2018-09-06,75.69
2018-09-07,76.44
2018-09-10,76.59
2018-09-11,77.41
2018-09-12,77.96
2018-09-13,78.94
2018-09-14,80.06
2018-09-17,79.1
2018-09-18,79.39
2018-09-19,80.43
2018-09-20,81.08
2018-09-21,80.96
2018-09-24,80.16
2018-09-25,80.11
2018-09-26,80.66
2018-09-27,82.04
2018-09-28,80.78
2018-10-01,78.39
2018-10-02,77.08
2018-10-03,76.55
2018-10-04,75.41
2018-10-05,74.38
2018-10-08,74.95
2018-10-09,75.23
2018-10-10,73.4
2018-10-11,73.1
2018-10-12,73.62
2018-10-15,72.99
2018-10-16,74.63
2018-10-17,74.52
2018-10-18,72.05
2018-10-19,70.66
2018-10-22,70.16
2018-10-23,68.87
2018-10-24,63.82
2018-10-25,67.55
2018-10-26,68.27
2018-10-29,68.6
2018-10-30,68.7
2018-10-31,71.17
2018-11-01,72.65
2018-11-02,72.82
2018-11-05,72.4
2018-11-06,70.59
2018-11-07,72.97
2018-11-08,72.02
2018-11-09,71.16
2018-11-12,70.19
2018-11-13,70.86
2018-11-14,71.08
2018-11-15,72.89
2018-11-16,73.04
2018-11-19,71.2
2018-11-20,71.49
2018-11-21,72.57
